product_desc,price,image,link
Silver Crescent Oxidised Hoop Earrings,350.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/silver-crescent-oxidised-hoop-earrings-22/iprdt
Silver Engraved Oxidised Hoop Earrings,300.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/silver-engraved-oxidised-hoop-earrings-22/iprdt
Silver Rose Quartz Beaded Oxidised Earrings,300.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/silver-rose-quartz-beaded-oxidised-earrings-22/iprdt
Silver Embossed Oxidised Hoop Earrings,300.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/silver-embossed-oxidised-hoop-earrings-22/iprdt
Green Enamal Kundan Petal Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/green-enamal-kundan-petal-earring-necklace-set-290/iprdt
Gold Grey Stone Dangler Earrings,550.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-grey-stone-dangler-earrings-22/iprdt
White Diamond Cocktail Dangler Earrings,1050.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/white-diamond-cocktail-dangler-earrings-22/iprdt
Gold Kundan Meena Green Bead Stud Earrings,975.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-kundan-meena-green-bead-stud-earrings-22/iprdt
White Diamond Hoop Earrings,1150.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/white-diamond-hoop-earrings-22/iprdt
Gold Kundan Red Bead Chandbali Maang Tika,1050.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-kundan-red-bead-chandbali-maang-tika-32/iprdt
Gold Green Kundan Crescent Dangler Earrings,375.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-green-kundan-crescent-dangler-earrings-22/iprdt
Gold White Kundan Maang Tika,1600.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-white-kundan-maang-tika-32/iprdt
Gold Kundan Red White Bead Earrimg Necklace Set,1750.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-kundan-red-white-bead-earrimg-necklace-set-290/iprdt
Gold White Circle Kundan Beaded Drop Bracelet,1050.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-white-circle-kundan-beaded-drop-bracelet-27/iprdt
Gold Kundan Single Orb Earring Necklace Set,2900.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-kundan-single-orb-earring-necklace-set-290/iprdt
Gold Kundan Pearl Drop Earring  Necklace Set,2375.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-kundan-pearl-drop-earring--necklace-set-290/iprdt
Gold Pearl Bead Bangle Set,1050.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-pearl-bead-bangle-set-27/iprdt
Silver Textured Pear Dangler Earrings,250.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/silver-textured-pear-dangler-earrings-22/iprdt
Gold Kundan Pearl Drop Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-kundan-pearl-drop-earring-necklace-set-290/iprdt
Gold White Diamond Bangle Set,1050.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-white-diamond-bangle-set-27/iprdt
Gold Red Crescent Kundan Passa,1100.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-red-crescent-kundan-passa-32/iprdt
Red White Petal Kundan String Hathphool,550.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/red-white-petal-kundan-string-hathphool-27/iprdt
Silver Filigree Green Stone Oxidised Earrings,450.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/silver-filigree-green-stone-oxidised-earrings-22/iprdt
Gold Glossy Cluster Dangler Earrings,625.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-glossy-cluster-dangler-earrings-22/iprdt
Gold Circular Bunch Earrings,600.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-circular-bunch-earrings-22/iprdt
Gold Multicolour Stone Circle Vine Earrings,600.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-multicolour-stone-circle-vine-earrings-22/iprdt
Dual Toned Oxidized Triangular Earrings Necklace Set,1900.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/dual-toned-oxidized-triangular-earrings-necklace-set-290/iprdt
Gold Red Kundan Beaded Hathphool,600.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-red-kundan-beaded-hathphool-27/iprdt
Dual Toned Green Stone Oxidised Jhumka Earrings,800.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/dual-toned-green-stone-oxidised-jhumka-earrings-22/iprdt
White Red Stone Drop Diamond Dangler Earrings,1250.00,https://img.faballey.com/Images/Product/ZEA00225/1.jpg,https://www.houseofindya.com/white-red-stone-drop-diamond-dangler-earrings-22/iprdt
Gold Beaded Cluster Spike Dangler Earrings,925.00,https://img.faballey.com/Images/Product/ZEA00035/1.jpg,https://www.houseofindya.com/gold-beaded-cluster-spike-dangler-earrings-22/iprdt
Silver Floral Motif Oxidised Dangler Earrings,300.00,https://img.faballey.com/Images/Product/ZEA00163/1.jpg,https://www.houseofindya.com/silver-floral-motif-oxidised-dangler-earrings-22/iprdt
Silver Daana Embossed Pear Oxidised Earrings,300.00,https://img.faballey.com/Images/Product/ZEA00184/1.jpg,https://www.houseofindya.com/silver-daana-embossed-pear-oxidised-earrings-22/iprdt
Silver Iridescent Oxidised Dangler Earrings,900.00,https://img.faballey.com/Images/Product/ZEA00195/1.jpg,https://www.houseofindya.com/silver-iridescent-oxidised-dangler-earrings-22/iprdt
